flow,horizon,concentration_bucket,observations,countries,mean_annualized_log_growth,median_annualized_log_growth,size_adjusted_observations,mean_size_adjusted_annualized_log_growth,median_size_adjusted_annualized_log_growth,mean_real_export_growth_pct,median_initial_exports_constant_2015_usd
Exports,1,high_product_high_partner,475,35,0.04517923795463327,0.04669132274020882,426,0.041401044184413795,0.04381084453389379,0.0758044269707014,13067421041.306763
Exports,1,high_product_low_partner,430,32,0.08288198551866818,0.06364070191964011,319,0.053824931428970504,0.03594804167715522,0.13312607845125118,5234665959.479452
Exports,1,low_product_high_partner,429,29,0.0421206980947418,0.04537768785666785,390,0.048966669878087954,0.04593546620263774,0.05155064508769646,167778718445.14764
Exports,1,low_product_low_partner,472,32,0.03430418203539413,0.03881024259802679,400,0.03970022083662736,0.037664846497173,0.04418983030551473,207399047324.10052
Exports,5,high_product_high_partner,396,35,0.04726373764644583,0.040573865699640166,358,0.04133145056096171,0.04436844499331212,0.41379321760804494,13067421041.306763
Exports,5,high_product_low_partner,391,32,0.07721278640729037,0.06186547638926783,283,0.05238928357898366,0.04650212101924033,0.7221983358922393,5234665959.479452
Exports,5,low_product_high_partner,391,29,0.0441041132589433,0.032647583966697626,352,0.05036648855336959,0.04998968983360519,0.3064581781399244,167778718445.14764
Exports,5,low_product_low_partner,394,32,0.03711561320264974,0.02763617183606719,329,0.04344729827265614,0.04564069309583137,0.2905351615290803,207399047324.10052
Exports,10,high_product_high_partner,302,35,0.04681581966077839,0.04102953223508763,267,0.04157586272276381,0.043065202588515344,0.8766502053295959,13067421041.306763
Exports,10,high_product_low_partner,336,32,0.07440093784234028,0.06255314315854754,237,0.048806599409862594,0.04131104176393555,1.8663345586615756,5234665959.479452
Exports,10,low_product_high_partner,337,29,0.045110263692978866,0.038443234153821136,298,0.051856699244508794,0.05107639429876586,0.7773326620730511,167778718445.14764
Exports,10,low_product_low_partner,300,32,0.03574123174107861,0.02841320558441396,243,0.043698507878508465,0.043377782811331,0.6793444140206266,207399047324.10052
Imports,1,high_product_high_partner,385,31,0.05692914380610385,0.051520417012657305,333,0.05072521617299369,0.04520202587654558,0.08349769025263756,48422463213.27719
Imports,1,high_product_low_partner,520,35,0.06527225322756448,0.05737541575806304,408,0.03681790287338831,0.03092667928479699,0.11334987619144091,5387033871.455713
Imports,1,low_product_high_partner,523,33,0.038038850249890344,0.03867688695353522,497,0.04888833675666395,0.04498894387809563,0.04781890634815706,106343962633.0457
Imports,1,low_product_low_partner,378,27,0.0412887155567519,0.04599636153492703,297,0.04570162562119798,0.04279011188141517,0.05324420318794985,228880853488.41263
Imports,5,high_product_high_partner,331,31,0.04955844901317637,0.042089661600150666,282,0.04499797035039368,0.049643214736437256,0.42278793672968523,48422463213.27719
Imports,5,high_product_low_partner,459,35,0.07401457147123115,0.06181644606734764,357,0.048694346597158045,0.050150713911295684,0.7119652300305683,5387033871.455713
Imports,5,low_product_high_partner,461,33,0.038654021479218585,0.029195611852494353,435,0.04674375931751275,0.04552208357318162,0.26961392507375365,106343962633.0457
Imports,5,low_product_low_partner,321,27,0.03918648177183075,0.0328438243514448,248,0.04531914104456512,0.04654712658316032,0.27884983707558364,228880853488.41263
Imports,10,high_product_high_partner,265,31,0.04646941053642823,0.0388988743063738,220,0.04469177157109263,0.043082687644086765,0.8271194030666225,48422463213.27719
Imports,10,high_product_low_partner,377,35,0.07611069530302829,0.06413588077432557,284,0.04644654122214708,0.04362937183533741,1.955482099588259,5387033871.455713
Imports,10,low_product_high_partner,378,33,0.038568615717377186,0.03314954407940007,352,0.04761207691223692,0.046777397051373085,0.6348128773413643,106343962633.0457
Imports,10,low_product_low_partner,255,27,0.03715513088970649,0.030089462735944393,189,0.04739415169639683,0.046618959415844,0.6323080158908599,228880853488.41263
