year,benchmark_reporters_with_imports,benchmark_reporter_product_rows,benchmark_total_imports,benchmark_products,world_total_imports,rd2_countries_with_metric,median_world_relative_product_gini,median_world_weighted_share_gini,median_active_product_gini,max_zero_weight_country_import_share,total_missing_benchmark_products,total_negative_leave_one_out_products
2000,152,584636,6001686071215.633,5037,6001686071215.633,55,0.5959070341240508,0.8403120880711278,0.8667530215137222,0.0,0,0
2001,156,601227,5841605169976.662,5037,5841605169976.662,55,0.5867014677930648,0.8409432156789912,0.8622720112710212,0.0,0,0
2002,156,601866,6135993445734.798,5035,6135993445734.798,55,0.5971456824524792,0.8301449837577686,0.862111953598959,3.666227605663979e-05,0,0
2003,159,619181,7150168321329.036,5037,7150168321329.036,55,0.5983535424741313,0.8315074225590448,0.866772178162198,1.1381785591824731e-05,0,0
2004,161,627379,8690036075424.942,5034,8690036075424.942,55,0.5946500372169646,0.8397133297093762,0.8669146498064271,5.89347033995608e-06,0,0
2005,163,640888,9887755803012.102,5037,9887755803012.102,55,0.5956348568879064,0.8424227248173689,0.8733308697737079,2.6613750541667686e-05,0,0
2006,164,655133,11348682202349.678,5035,11348682202349.678,55,0.5912931889072001,0.8462499610915403,0.8764145759378932,4.79460405934952e-06,0,0
2007,168,668370,13137485989576.246,5022,13137485989576.246,55,0.5776820218633992,0.8429085769052836,0.8723522444493963,3.0426805251423887e-05,0,0
2008,165,662986,15301044238093.781,5017,15301044238093.781,55,0.5979153401085125,0.832773808337123,0.8763503308902021,0.0,0,0
2009,166,665210,11558877338850.826,5015,11558877338850.826,55,0.5909874775511458,0.833978701439671,0.8697034188779271,0.0,0,0
2010,170,688429,14104359702927.451,5017,14104359702927.451,55,0.5929958601035524,0.8378309896316251,0.8767909248441579,0.0,0,0
2011,170,686736,16953489844532.49,5014,16953489844532.49,55,0.6032903899170706,0.8420184419310868,0.8803280494433516,0.0,0,0
2012,170,692590,17140040508557.236,5012,17140040508557.236,55,0.6144416999440734,0.8437902119613705,0.8866893416853827,0.0,0,0
2013,171,696116,17454731204830.146,5012,17454731204830.146,55,0.604898876602408,0.8456457497761991,0.8871799897535408,0.0,0,0
2014,167,682893,17394133381830.768,5011,17394133381830.768,55,0.5936395079551459,0.8462413800359836,0.8797351238120845,0.0,0,0
2015,168,689523,15320524492820.285,5010,15320524492820.285,55,0.5970824345983757,0.8287554154991289,0.8772209762985212,0.0,0,0
2016,170,698242,14987029100437.566,5010,14987029100437.566,55,0.5948381363646824,0.8275572603689989,0.8715741163642934,0.0,0,0
2017,171,703904,16761990430808.717,5010,16761990430808.717,55,0.6031624906391997,0.8379291524676886,0.8751103726784,0.0,0,0
2018,169,695080,18428132359937.883,5009,18428132359937.883,55,0.6090512472159613,0.8374030374034942,0.8778262380119903,0.0,0,0
2019,166,687666,17849085008183.324,5003,17849085008183.324,55,0.607362522880166,0.83292793480461,0.881062285567747,0.0,0,0
2020,163,673734,16588702614448.271,4988,16588702614448.271,55,0.6271324045244644,0.8072245394811921,0.8756636426292137,0.0,0,0
2021,163,679368,20812645933402.473,4988,20812645933402.473,55,0.6247020986007374,0.8211163924709171,0.8807622993795019,0.0,0,0
2022,160,676285,23371797776365.46,4988,23371797776365.46,55,0.64319322373963,0.8438049153090073,0.8900072659734386,0.0,0,0
2023,158,671199,22022566631759.176,4987,22022566631759.176,55,0.6188277878715353,0.8417405768366513,0.8868112121602454,0.0,0,0
2024,134,579880,21477763808207.273,4988,21477763808207.273,55,0.610957170414811,0.8317122676906447,0.8868691276823801,0.0,0,0
