year,benchmark_reporters_with_exports,benchmark_reporter_product_rows,benchmark_total_exports,benchmark_products,world_total_exports,rd2_countries_with_metric,median_world_relative_product_gini,median_world_weighted_share_gini,median_active_product_gini,max_zero_weight_country_export_share,total_missing_benchmark_products,total_negative_leave_one_out_products
2000,151,341266,5817244525651.065,5035,5817244525651.065,55,0.839167449937496,0.8824196422391313,0.9261647272919752,1.048274035422092e-06,0,0
2001,155,344996,5632048942793.863,5033,5632048942793.863,55,0.8434183477550233,0.8768332202254876,0.9292997775157672,0.0,0,0
2002,156,357341,5923913705348.562,5032,5923913705348.5625,55,0.8346312735672923,0.8854899734887589,0.9304290654858398,0.0,0,0
2003,159,370224,6921292266523.206,5035,6921292266523.206,55,0.8331181477609632,0.8869898456285944,0.9306289606641432,2.736451822965104e-05,0,0
2004,160,377253,8351471838101.767,5027,8351471838101.767,55,0.8431268595232074,0.8809572307402875,0.930329975718432,0.0,0,0
2005,164,385742,9463776609781.371,5034,9463776609781.371,55,0.8330221546066606,0.8933257619719758,0.932364849808319,4.736805505447919e-06,0,0
2006,161,394973,11029272427409.55,5031,11029272427409.55,55,0.8340097153730524,0.8832731443942504,0.9315777810148878,0.0,0,0
2007,165,400889,12696329386535.994,5019,12696329386535.994,55,0.817572525484018,0.8805473686794874,0.9303915255523972,0.0,0,0
2008,164,405858,14679230251059.178,5015,14679230251059.178,55,0.814504127602712,0.8739734740095956,0.9344366877608536,0.0,0,0
2009,166,409523,11155952807789.14,5011,11155952807789.14,55,0.8140924172170173,0.8817464968299471,0.934885365694478,0.0,0,0
2010,169,415149,13603195025663.61,5010,13603195025663.61,55,0.8250347331953882,0.8848294650856672,0.9351328940879036,0.0,0,0
2011,168,415568,16465456215640.959,5011,16465456215640.959,55,0.8329383023589468,0.8830900599773239,0.9356496366392136,0.0,0,0
2012,170,420089,16687135437611.12,5007,16687135437611.12,55,0.8294785111994091,0.8901660871131963,0.9365450051660312,0.0,0,0
2013,170,427679,17314426629846.037,5006,17314426629846.037,55,0.827873658214691,0.8783059965935698,0.9357938121792576,0.0,0,0
2014,167,423701,17180778292593.324,5003,17180778292593.324,55,0.8175602064745326,0.8836225353246142,0.9326774019343153,1.3431099986489439e-05,0,0
2015,168,431940,14886724041640.428,5002,14886724041640.428,55,0.8222693881005837,0.8870529764446722,0.9314401041733928,0.0,0,0
2016,170,433124,14463153245876.996,5003,14463153245876.996,55,0.8213851695512956,0.8828892116325401,0.9330311231735426,0.0,0,0
2017,171,440553,15912744634800.098,4994,15912744634800.098,55,0.8134723866083096,0.8894902423751645,0.934430464762054,0.0,0,0
2018,169,436032,17639705152038.01,4990,17639705152038.01,55,0.8246627954437715,0.8867320701014609,0.93422672375673,0.0,0,0
2019,166,439097,17270046559346.42,4987,17270046559346.42,55,0.8320635861101803,0.8880223388362769,0.9333325429522572,0.0,0,0
2020,163,424897,16099571053208.256,4982,16099571053208.256,55,0.8297190698626005,0.8858617663725279,0.9332888359178324,0.0,0,0
2021,163,434534,20230697024887.18,4982,20230697024887.18,55,0.8308111635988082,0.8970961230826991,0.9429658487172304,0.0,0,0
2022,160,446755,22120815369208.137,4988,22120815369208.137,55,0.8456846904027826,0.897326618729642,0.9429199187990238,0.0,0,0
2023,158,451643,21325007050203.676,4982,21325007050203.676,55,0.840638008785441,0.8977538355143598,0.9368677897411748,0.0,0,0
2024,134,411147,20562489519169.527,4982,20562489519169.527,55,0.8356763002880113,0.9008650230644355,0.9391579788403824,0.0,0,0
